Applicant_id,pos_com_city1
2, volunteer writer for the uloop blog  
3, marketing intern server prep cook  
6, project assistant  
8, deli clerkserver cashier food prep order taker  
11, cashier  
12, server rec leader  it program management intern  
13, offica assistant cashier assistant  
14, waitress host lifeguard  
15,      
18, baristacashier server receptionist  
21, cashier  
22, sandwich artist shift leader personal in home  
23, waiterserver film editor waiterserver  
24, volunteer  
26, cashier  
27, farm intern event organizer lifeguard and childrens program aid  
30, server barback expediter  
32, roundup newspaper intern intern  
33, waitresshostess softlines team trainer nanny  
34,   server serverhost  
37, serverfood runner boh  
38, sales person  phone receptionist  
39, waiter red cross certified lifeguard  
40, food server lead  
41,    
42,retail associate  chocolateer  westfield  ghirardelli chocolate  san franciscocourtesy clerk street marketer  
42,grand opening new location has entry level positions  bay inc  san franciscocourtesy clerk street marketer  
42,movie extras actors and models wanted in san francisco ca. part time or full time.  casting  san franciscocourtesy clerk street marketer  
42,driving partner  uber  san franciscocourtesy clerk street marketer  
44, pizza maker  
45, technitian server server  
48, server waitress  
49, gas station cashier office clerk  
50, claremont country club front office intern housekeeping intern  
51, retail sales intern  
52, serverwaiter  
54, wash house depratment host  
56, quickly cashier and kitchen   
57, sales associate activities assistant lot operatorlot monitor  
63, part time server health intern assistant director  
66, merchandizer  
68, bakers assistant sales associate  
69, barista seasonal makeup artist assistantserver  
71, courtesy clerk  
73, cashier  
74, bookseller legal clerical assistant  
75, cashier cashier  
76,    
77,    
78, impact team member  
83, cashier  
84, tutor hostesscashier  
86, none  
88, sales associate  
89, clerks helper healthcare specialist  combat medic  
93, organizerhelper  
95, sales representative vendor receptionist  
96,server  sakae sushi  burlingamecashietwaiter receptionist cashier server
96,server  waraku  san franciscocashietwaiter receptionist cashier server
96,kitchen staff  izakaya yuzuki  san franciscocashietwaiter receptionist cashier server
102, teachers assistant  
103, sales associate waitresscashier  
109, child care associate office assistant comanager  
110, waitress  
111, cashier  
113, sales representative  
116,      
117, waitress waitress floor captain  
118, cashier  
120, intern  
122, greetor  
124, cashier cashier  
126, server  
129, toys associate team captain  
131, shift manager telephone banker hourly manager  
133, supervisor   crew  
134, manager   venetrian blind installer  
135, security guard laborer  
137, shop girl independent child care provider  
138,    
141, customer service food server at festivals  
143, marketing director of operations  
145, customer service  
146, manager  
147, server server receptionist  
148, store clerk sales associate food clerk  
149, hostcashierfood prep shift supervisor salesfloor  
151, head lifeguard  
153,traveling inventory associate  wis international  citrus heightsbanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,traveling inventory associate  wis international  citrus heightsbanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153, banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,server  susumu japanese steak house  rosevillebanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,retail project merchandiser  advantage sales  marketing  citrus heightsbanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,full charge bookkeeper  accountemps  redwood citybanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,customer service rep ii  zions bancorporation  california bank  trust  fremontbanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,valic financial advisor intern  roseville ca  aig corp  rosevillebanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,aml compliance associate  accountemps  san franciscobanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,loan servicing manager  accountemps  san franciscobanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,loan servicing manager  accountemps  san franciscobanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,dockworker part time  saia ltl freight  san josebanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,accounts receivable clerk  accountemps  redwood citybanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,call center representative  parttime  alliance credit union  san josebanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,loan closer entry level  accountemps  pleasantonbanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,customer service representative  accountemps  concordbanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,customer service representative  accountemps  walnut creekbanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,jumpstart your accounting career this holiday season  accountemps  san franciscobanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153, banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,startup seeking experienced underwriter  accountemps  san franciscobanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,underwriting assistant  accountemps  san franciscobanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,investment operations  accountemps  san franciscobanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,investment operations  accountemps  san franciscobanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,traveling inventory associate  wis international  citrus heightsbanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,inventory general accountant  accountemps  san josebanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
153,financial analyst  accountemps  san josebanker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
154, cashier barista cashier  
155, florist  
157, multicultural immersion program intern graphic designer  
161, team member employee  
162, nanny  
164, cashier cashier team member  
166, shift lead host  
169,    
172, teacher assistant  
174, receptionist  
175, none none none  
180, server  
183, serverbusserhost  
184,    
188, beauty advisor sales associate  
191,    
192, administrative assistant  
193, none  
194, teacher  
196, none  
198, phlebotomist  
201,    
208, hostess digital design intern  
210, laboratory assistant  
215, sales person  
219, hostess  
220, waiter  food server catering  
221, attractions associate service shoewomens specialist  
222, digital strategist  
223, data analytics     researcher on the human technology coevolution  
227, customer service  
229,    
230, server  
239, sales associate  
240,    
243, none  
244, cashiersandwich maker  
247, crew member  
249, server server busser food runner private event bar tender  
250,    
251,    
252, busser dishwasher  
255, barista  
256, cashierserver host production area sales rep customer service rep book keeper receptionist server
257, hostcashierdoor person  
259, waitress  
265, host server bartender  
266, assistant  
267, waitress  
271, helper  
274, supervisor  
279, sales associate  
280, server server  
282, cashier  
285, bookkeeper parttime bookkeeperadministrative assistant  
287, store sales associate certified sales associate  
290, gcic terminal operator  
292,    
297, server  
301, bartender bartenderserver  
302, bartender server  
303, line cook  
304, registered dental assistant  
306, cookline cook  
307, busboy  
309, bartender  
313, server  
314, technology associate  
315, store keeper assistant  
316, intern  
317, hostess  
320, truck driver  
326, java developer  
327, temporary worker  
330, resident advisor  
331, none none  
340, caregiver  
341, dishwasher prep cook  
343, waitress and bartended  
355, barista shift supervisor school admin  
361, hostcashier  
362, team member team member  
365, intern  
366, volunteerbarback  
370, campus day leader social media and research intern  
372, none  
373, server  
378, cashier server  
384, server  
391, server server  
394, cook  
397, student aide  
400, none  
401, server  florist  
404, senior supervisor  
405, event advisor  
406, server bartender mixologist  
408, service clerk buser  
421, esl instructor  
437, guest bartender  
438,   customer service rep barista host server
441, server  
448, event staff  
452, bartender bartender  
453, office assistant  
460, student assistant  
465, none  
467, package handler team leader  
469, inside sales associate dessert prep cook  
470, teacher  
471, bartender  
476, writing consultant  
477, salesdriveroffice clerk  
480, secratary  
482, sales  
484, administrative clerk office assistant  
492, deli line retail  supervisor  
493, servercustomer service  
494, bartender  
495, warehouseman  sales associate  
496, bartender  
501, learning advocate  
507, cashier drive thru attendant food prep dishwasher  cook server host cashier  
508, serverbartender  
510, server  
511, crew  
515, asst. foh managerbartender interim production manager  
518, assistant to the manager  
519, servercashier  
520, server  
522, server  
532, none  
534, waitressbartender waitress  
537, server serverserver trainer  
539, lead server  
